Y,X,id,typeKnoop
483833.000000003,114916.699999999,"14062304",Uitlaat vuilwater nooduitlaat
488133.610000001,128553.010000002,"14062495",Uitlaat vuilwater nooduitlaat
482936.980000004,118632.800000001,"14062782",Uitlaat vuilwater nooduitlaat
487568.65,121028.329999998,"14063036",(externe) Overstortput
484943.940000004,116267.640000001,"14063057",Uitlaat vuilwater nooduitlaat
486161.893300002,122346.816199999,"14063071",(externe) Overstortput
486915.170000004,121337.02,"14063168",(externe) Overstortput
487844.630000001,121157.890000001,"14063200",Uitlaat gemengde overstort
486923.45,120649.539999999,"14063776",(externe) Overstortput
483104.320000002,118412.32,"14063887",Uitlaat vuilwater nooduitlaat
485949.171400002,120849.749400001,"14063953",Interne Overstortput
490058.920000004,123438.960000001,"14064179",Uitlaat vuilwater nooduitlaat
488849.930000002,120681.920000002,"14064494",Uitlaat gemengde overstort
484870.600000002,113515.100000001,"14064978",Uitlaat vuilwater nooduitlaat
487187.629999997,121498.629999999,"14065098",(externe) Overstortput
483834.100000001,114887.600000002,"14065181",Uitlaat vuilwater nooduitlaat
487910.950000002,128040.52,"14065648",Uitlaat vuilwater nooduitlaat
486756.170000003,121656.010000002,"14065651",(externe) Overstortput
478153.000000002,126655.0,"14065848",Uitlaat vuilwater nooduitlaat
484998.440000002,120903.510000002,"14065887",(externe) Overstortput
486311.409999999,113048.309999999,"14066131",Uitlaat vuilwater nooduitlaat
486445.040000001,121533.059999999,"14066175",Uitlaat gemengde overstort
487057.300000001,113598.300000001,"14066288",Uitlaat vuilwater nooduitlaat
489396.660000005,124433.989999998,"14066769",Uitlaat gemengde overstort
488554.539999998,126229.800000001,"14066947",Uitlaat vuilwater nooduitlaat
488264.219999998,122193.25,"14067378",Uitlaat vuilwater nooduitlaat
486277.370000002,123193.309999999,"14067458",Uitlaat gemengde overstort
491133.280000004,126214.84,"14067571",Uitlaat vuilwater nooduitlaat
488669.789999999,126187.629999999,"14067659",Uitlaat vuilwater nooduitlaat
486509.000000003,123573.899999999,"14067719",Uitlaat gemengde overstort
486775.700000002,119991.5,"14067850",(externe) Overstortput
